category,content
房产,"从郊区转向市区 豪宅市场渐显成熟(图)
　　在北京，从最早温榆河沿线成就的中央别墅区，到主打“皇家板块”的西山别墅区之风光一时，豪宅这个词，逐渐褪去了鲜为人知的神秘色彩，成为众多中产阶层以上人士首选的置业目标，由此也相当程度带动了顺义、密云、昌平等外围区域的发展。
　　但随着近10年的产品换代，以及财富圈层的眼界升级，传统豪宅的配套不足、交通不便、离市区较远，带来精力与时间成本增加等诸多问题，也日益突出。回归城市，正在成为新财富精英们的迫切需求。这些人受过高等教育，多有海外背景和多次置业经历，注重事业追求和生活品质。对他们来说，人生事业的价值体现，与静谧空间的私密享受，是鱼与熊掌都要兼得的目标。
　　城市别墅的出现，也因此得到了这一群体的广泛认同。一些同享城市便利与幽雅环境的高品质项目，往往在尚未开始销售时，已获极高的关注，特别是以远洋天著 (论坛 相册 户型 样板间 点评 地图搜索)为代表的，千万级以上的绝对高端产品，正在让垄断多年的传统豪宅市场，遭遇前所未有的挑战。
　　从郊区转向市区 豪宅市场渐显成熟
　　城市商业核心区的土地价值逐年升高，往来于郊区和城市中心的时间成本、工作效率虚耗严重，这让更多的人将目光，从郊外豪宅转向了城市别墅，置业心态，也日趋成熟。
　　实际上，城市别墅的崛起并非偶然。当高档住宅从对功能的覆盖，直至产品的标准化程度日趋完善时，国际化人居理念的快速普及，和新一代强势财富力量的成长，都对犒赏性居所提出了更高的要求。传统豪宅一味追求的奢华浮夸之风，随着市场理性化被不断淡化。个性化、人性化、精细化，成了新一代高端住宅的核心竞争力。
　　42岁的齐先生05年就在北京郊区购置了一套别墅。多年来的居住感受，让他对这种看似风光体面的生活有苦难言，“公司事情太多，每天忙完基本都半夜了，再开车走很远的路，到了家已经是后半夜了，肯定是倒头就睡，哪有时间还享受什么人生乐趣！后来实在跑烦了，经常是在公司附近随便找个酒店就睡了。”他半开玩笑的说，这几年算下来，自己在家住的时间，还没保姆多，“我都不知道这别墅到底是给谁买的”。
　　在得知远洋天著这一项目之后，齐先生经过实地考察了解，很快有了重新置业的打算。“我们这个年代的人，并不需要多豪华的装修来装点门面，财富、事业、名声都有了，只需要能方便、舒服，符合我的审美和社会层次就行了。亦庄我常来，到国贸很快，四周又不吵，远洋地产我也比较熟，各方面还都比较合适。”
　　据了解，齐先生的经历和观念，也代表了相当一部分，看好远洋天著的客户心态。
　　不只是豪宅 远洋天著欲建行业标准
　　在城市别墅刚开始兴起时，有业内专家即指出，由于北京土地资源所限，真正高品质的城市豪宅产品还十分缺失，亟待一个出类拔萃的产品，为全行业树立起综合性的产品价值体系，以引导这一新居住模式的良性发展。
　　无独有偶，6月23日，2011远洋天著“建立城市别墅标准化体系”论坛盛大召开，多位业内专家及行业人士悉数出席，就当下北京高端住宅市场现状进行了分析，并通过国内外诸多城市别墅案例，总结和梳理了“城市别墅的七大标准”，提出交通、人文环境、生态系统、区域产业、居住体验、服务层级和会所配置这7项指标，是衡量城市别墅产品水平的重要参数。
　　有专家认为，调控力度与竞争压力加大，让同质化项目很难脱颖而出，“只有推出理性的、唯一的、真正高品质的产品，才能赢得诸多拥有高端客户的青睐，并占据市场主导地位。”
　　远洋天著显然有望成为这一规则的制定者。
　　远洋天著是远洋地产蓄力多年缔造的精品项目之一，地处CBD与BDA的中轴线，扼守东五环与京津唐高速交汇要道，全程快速交通一路相随，20分钟直达CBD并辐射全城范围，适中的距离感让区位的优越感十分突出；项目包括375-560平方米联排别墅及部分空中别墅，低密度、精装修，在五环范围内十分罕见。
　　尤其特别的是，远洋天著创造性的开辟出六大主题会所，并引入最顶级的“国际金钥匙物业联盟”作为指定物业管理机构，力求针对不同年龄、性别、需求的业主，实施最具针对性和个性化的服务内容，这一创意在业内尚属首次，也是打动大量高端客户的重要原因之一。细数该项目的各方面优势卖点，我们不难看出，城市别墅的七大标准，均能在这里得到一一对应。远洋天著一方面在身体力行将尖端城市别墅做到极致，也在无形中，为传统豪宅市场设置了一道很难逾越的障碍，即便是后来者，亦需要以远洋天著作为标杆来追赶，相信在短时间内，如何企及与超越，将是众多竞争对手最为头疼的问题。
我要评论
房产导航："
房产,"绿洋山庄荣膺南中国首个世界级奢华居所
　　9月8日上午，绿洋山庄二期销售中心名仕云集，掌声连连。世界奢侈品协会(WLA)•华发集团合作签约暨珠海绿洋山庄“世界级奢华居所”授牌仪式，在此闪耀举行。众人瞩目中，WLA驻华代表欧阳坤先生与华发集团总经理李光宁先生共同签署了合作协议。绿洋山庄以至高无上的极致奢华，赢得了来自国际权威组织的高度认可，同时也作为南中国首个“世界级奢华居所”，把南中国奢华大宅境界引向一个新的标高。
我要评论"
房产,"白洋淀悦榕泉花园洋房与别墅2010年11月开盘
　　【悦榕泉：位于中国白洋淀-华北最大湿地度假区的东南亚风情精装社区，开启温泉之旅，研磨水文化的养生之道。】
　　悦榕泉(论坛 相册 户型 样板间 点评 地图搜索)
　　项目预计2010年11月开盘，花园洋房总价60万元/套，联排别墅总价110-130万元/套，独栋别墅总价200万元/套。项目位于白洋淀雄县 温泉城，华润管理学院西侧。在售户型为104-150平米三居洋房，104-150平米三居联排别墅，190平米2-3居独栋别墅，2011年1月入住。

　　悦榕泉以情景洋房、联排、独栋为主，洋房以90—120平米大两居及小三居为主，联排以120—150平米锻造现代别墅格调，现在签约独栋即送不低于300平米花园，户户均采用温泉入户泡汤。项目的建筑风格为现代简约，共计416席，每套均为东南亚风格精装修设计理念为基调。
　　悦榕泉悦榕泉位于中国白洋淀华北最大湿地度假区的东南亚风情精装社区。沿京石高速驱车90分钟车程即可抵达。紧邻华润国际标准18洞高尔夫球场和芦乡国际高尔夫会所及36洞国际标准高尔夫球场，是白洋淀罕有的养生度假城。
　　以上信息仅供参考，最终以开发商公布为准。
　　点击查看更多打折优惠楼盘信息
　　点击查看最新楼盘户型展示
我要评论
房产导航："
房产,"华远&#8226;九都汇5号楼样板间开放活动圆满落幕
　　7月23日，华远·九都汇 “融汇国际社交 华人世界盛宴” 5号楼空中花园样板间璀璨绽放活动成功举办。在已经实景竣成的项目中央景观带，100多位业主及亲朋好友莅临现场。参观完5号楼样板间及名贵珠宝展之后，优雅f的现场音乐演奏中晚宴活动正式启幕，夜色初上，绚丽的灯光将园区璀璨点亮，各位嘉宾在品尝各种中外美食的同时，欣赏轻松愉快的魔术表演等娱乐节目，活跃的现场气氛让各位业主及准业主提前感受到了夜色下燕莎的无限活力。
　　位于东三环燕莎核心位置的华远·九都汇，拥有浓郁的涉外氛围和国际化的成熟配套。此次亮相的5号楼样板间为Penthouse公寓式酒店，因其不受限购影响，成为当下燕莎地区奢适生活的新关注点，让才智人群尽享国门之心的绝版宜居生活氛围。
　　燕莎核心 奢享涉外国际氛围
　　东三环核心稀缺的土地价值自不待言，尤其燕莎国门中央区域，既占据涉外中央地利，独享燕莎商圈成熟积淀的涉外氛围，又承接南部CBD商圈的强势辐射，区域无疑成为北京建设世界城市的核心引擎。
　　立瞩东三环，一线大道上比肩世界的楼宇林立，这里时刻汇聚着各界高端人士的往来，繁华与喧闹见证着这个世界城市的快速发展。华远·九都汇，则在这喧闹的城市中拥享城市动静合一。10分钟之内，CBD、三里屯等繁华之所尽达，于自家则远瞻静揽团结湖、朝阳公园等城市园景，项目内部中央水景花园以一条动态的水系贯穿全园，在喧嚣的市中心带给人们宁静，形成小区域的宜居宜人的环境。虽处于闹市，却同时将世界繁华与城市宁静悉数尽收眼底，华远·九都汇，大都市生活的绝佳之所，不仅是东三环惟一涉外华邸，更为国际化社交提供最大的便利。
　　国际品质 尊崇定制私人官邸
　　在寸土寸金的世界城市涉外核心区，究竟怎样的居所才能匹配层峰人士的国际化生活需求？华远·九都汇立基北京最为强烈的涉外环境，考量国际社交圈层独有的生活特点与审美倾向，以超大私属定制官邸，为区域高端圈层呈献完美奢适的居住体验。130平米的penthouse涉外宫馆，凭借以岛台为中心的西厨设计，超大面宽的宴客厅，独立奢享步入式衣帽间等国际化空间设计，通过多重功能复合化布局的空间渗透，极大的灵活与丰富起多元化生活需求。更为珍贵的是，penthouse涉外宫馆融入了城市中独有的退台设计构造起空中花园景观，精致的三角花园阳台，有效的将室内空间与室外景象相融合，时刻保证与燕莎的亲近。
　　东三环核心华远·九都汇，一所聚集涉外生活最浓郁的居所，闲时可居室休养生息，忙时亦可于此畅想商务往来，将居所、圈层真正的提升到国际一流水准的品质，引领燕莎人居不断向世界前行。
我要评论"
房产,"西4环大成郡预计3月中下旬推90平起2-3居(图)
　　新浪房产讯(编辑 张跃)大成郡 (论坛 相册 户型 样板间 点评 地图搜索)预计3月中下旬推出新房源，待售户型为90-100平米二居，108-180平米三居，均价待定。项目位于丰台五棵松桥南1500米西四环与大成路交汇处西南，交房入住时间为2011年底。
　　大成郡建筑类型为低密度花园洋房的城市类别墅，项目容积率1.29。绿化覆盖率达到30%，中心园林内的儿童欢乐区和老人活动专属区，整个社区打造的是6桥6景13园的园林理念，社区园林为德式设计，在内部分布13个以不同植物为主题的园。项目为社区打造了完善的配套，居住在社区内，不仅能享受完善的城市资源，还能享有郊区别墅的恬静、自然的别墅生活，体会闹中取静的生活方式。
　　>>点击了解更多丰台区热点楼盘
　　大成郡的建筑形式为传统的围合式设计，由48栋6-9层带电梯的板式住宅楼构成，分为6个组团。附近有一线地铁五棵松站，西四环17条公交路线，处于西四环与大成路交汇处西南角，拥有极为便利的交通，地理位置十分优越，北可直达海淀区金源商圈、中关村商圈，南接丰台区高新科技产业园区，通过长安街的连接，可迅速到达公主坟及金融街商圈。
　　以上信息仅供参考，最终以开发商公布为准。本稿件为新浪乐居独家原创稿件，版权所有，引用或转载请注明出处。
　　订阅会员置业刊 我们将直接把最新的热盘动向发送到您的邮箱
　　更多热盘推荐：重拳限购外地人买房别愁 总价50万拿下便宜房 精装纯新盘 淘最全打折盘 最新楼盘户型展示 遍搜京城准现房 楼市最火百盘榜"
教育,"香港中文大学两学院首次内地招生
　　北京考试报讯 记者日前从香港中文大学获悉，今年该校计划在内地招生250人，其中，在京招19人，医学院和教育学院首次面向内地招生。
　　据介绍，该校内地招生专业包括文科基础班、理科基础班、工科基础班和商科基础班。医学院和教育学院分属于理科基础班和文科基础班。本科生第一学年按志愿修读一个基础班，第二学年攻读选定专业。
　　该校入学及学生资助处处长周陈文琬介绍，学校今年在京文科类计划为5人，理科类计划为14人。录取时，学校不设专业志愿级差，内地考生高考成绩要达到本科一批录取线之上。同等分数下，学校优先录取英语成绩较高的考生。该校对考生英语成绩要求较高，自费生英语要达到120分以上；想获得奖学金的考生，英语成绩要达到130分以上。香港中大录取时不考虑加分政策，依据考生高考实际分数由高到低录取。去年，学校在京录取平均分文科类629分，理科类662分。
　　香港中大学费每年8万港币。住宿费约8000港币，其他杂费、生活费每年约需2万—3.5万港币。今年该校在京投放4个全额奖学金名额，文理各两个，只提供给第一志愿报考的考生；理工类考生高考成绩要达650分或以上，文史类考生要达600分或以上。获得奖学金的学生，将获得相当于攻读四年本科课程的学费、住宿费及生活津贴，总额约为50万港币。
　　周陈文琬提醒内地考生，学校在统招提前批次录取，与内地高校本科批次及香港自主招生高校录取不冲突，考生要结合自身学习情况及家庭经济条件报考。(记者：邱乾谋)"
教育,"专家从签名分析欧盟成员国领导人性格
　　据新华社电 欧盟成员国领导人17日在布鲁塞尔举行峰会，法国媒体借机邀请笔迹学专家通过领导人签名来分析他们的性格。尽管各位领导人签名各异，性格也不尽相同，但通过签名反映出来的有一个共同点，那就是他们都具有远大抱负，并且坚持自己的观点。
　　法国《论坛报》首先分析了法国总统萨科齐的签名，比利时笔迹专家玛丽-特蕾莎·克里斯蒂安认为，萨科齐的签名显示“表明、树立自己的观点对他很重要”，不过他也“比人们认为的那样还要更谨慎”。罗马笔迹学高级研究所主席阿尔贝托·布拉沃也认为萨科齐有着“慎重与谨慎的情绪”且“不容易赞同别人不经过小心评估就给出的建议”。瑞士笔迹学会副主席玛丽·安娜·瑙尔认为萨科齐的笔迹显示他“工作勤奋，甚至有时有点工作狂”。
　　笔迹专家还对欧盟一些主要成员国领导人的签名进行了仔细分析：德国总理默克尔的签名显示她属于“内向型人格”，“当她认为必要的时候，她会用沉默示人”；意大利总理贝卢斯科尼的签名显得“浮夸”，“他时刻准备运用魅力但绝不轻言放弃”；首次参加欧盟峰会的英国首相卡梅隆的签名表示“当自己的估算可能糟糕的时候，他有能力重新审视自己的立场”；欧元集团主席容克的签名“简单，快速而有力”，显示他“首先展现外交家风格而随后又可果断决定”；欧洲理事会常任主席范龙佩的签名“让人震惊，和他本人谦和克制的形象不符，像设计好的标签，显示他占据一席之地的渴望”。
　　至于欧盟委员会主席巴罗佐，他的签名“有着闪耀的智慧”，显示他“不是那种以蛮横方式强加于人的人，但签名落款的最后一个点则表示他想要的安全：我不会走得更远，但我想要的是这些”。(记者：刘卓)"
教育,"IDP2011年赴澳洲留学行前说明会
　　完美留学第一步！IDP最新2011赴澳留学行前说明会
　　历经重重关卡，整装待发的时刻终于来临啦！澳大利亚，南十字星闪耀下的一片美丽富饶的土地，一个多元稳定却又活力四射的国家，以其优美独特的自然风光，良好安宁的社会环境和国际一流的教育质量，吸引了无数包括中国学生在内的海外学子前来求学 ……
　　想要一次性网罗最齐全的行前信息吗？从留学理财，到住宿预订，到飞向彼岸，入境报到，到留学打工…
　　想要听听“过来人”怎么说吗？留澳海归现场分享亲身留学经历，是辛苦、是幸福、是经历？让你听到留学背后的故事！
　　想要找找同行的伙伴和未来的校友吗？
　　或者只是…想知道在澳洲留学的情况，想听听真实的留学故事…
　　都可以来IDP赴澳留学行前说明会，到场即有精美小礼品赠送！
　　北京 
　　2011年1月8日 (星期六)
　　地址：北京市东城区东长安街1号东方广场E2(东二)办公楼1607室
　　预约：010-85150798
　　上海 
　　2011年1月8日 (星期六)
　　地址：上海市淮海中路283号香港广场南座14层
　　预约：021-63907000
　　广州 
　　2011年1月22日(星期六)
　　地址：广州市天河区体育东路116号财富广场7楼会议室
　　预约：020-38932797
　　深圳 
　　2011年1月22日(星期六)
　　地址：深圳市罗湖区深南东路5002号信兴广场(地王大厦)1516单元
　　预约：0755-82125009"
教育,"海南高职专科批录取19日征集志愿
　　作为今年我省高招最后一个批次，高职(专科)批目前尚有部分学校缺乏生源。从今天中午13时至8月19日下午16时，省考试局网站将开放征集志愿系统，目前尚未被录取的线上考生要抓紧时间上网补报志愿，不要错过今年高招的“末班车”。
　　记者今日从省考试局获悉，今年我省高职(专科)批经向学校平行投档后，有部分学校尚缺乏生源，此外还有一些学校追加计划希望录取更多考生。为完成招生计划和增加考生上大学的机会，省考试局决定组织达到高职(专科)批录取分数线的考生征集高职(专科)批志愿。投档成绩未达到高职(专科)批录取分数线的考生不能填报，自行填报的，其志愿不作为投档依据。
　　征集志愿前，考生先登录省考试局网站“普通高等学校招生信息站”，查询本人的录取状态。处在“自由可投”(即考生档案尚未投给高校)状态且投档成绩达到高职(专科)批录取分数线的考生，均可根据本人所报考的科类和各类计划的招生科类，自主决定填报高职(专科)批的征集志愿。
　　处在“已经投档”(即考生的档案已投给高校)、“院校在阅”(即高校正在审阅考生的档案)状态的考生，其档案虽已投档给高校，但高校尚未最终确定是否录取。为防止在征集志愿投档前因高校退档而使本人失去录取的机会，希望这类考生也填报高职(专科)批学校的征集志愿。如果考生在征集志愿投档前已被进档高校录取，其所填报的征集志愿将不再作为投档的依据。
　　此外，高职(专科)批剩余计划和录取期间高校追加的计划在省考试局网站已经公布，考生可根据计划表选择学校和专业志愿，不列入表中的学校或专业不能填报。
　　作者：周元"
教育,"2009年高等学校全国统考(全国I卷)试题汇总
　　更多高考信息请访问：新浪高考频道 高考论坛 高考博客圈 高考贴吧
　　特别说明：由于各方面情况的不断调整与变化，新浪网所提供的所有考试信息仅供参考，敬请考生以权威部门公布的正式信息为准。"
时尚,"必学5式瘦腿健美操 夏日秀出纤长美腿
　　导读：双腿是身体的支柱，健美的腿部是女性能够“亭亭玉立”的关键，修长的腿部是女性制胜诱人的一部分，所以我们怎能轻易放弃腿部运动呢？我们一起来看看下面的瘦腿健美5招吧，让你show出修长美腿。
　　1、弹踢下压
　　① 身体站直，双腿并立，双手叉腰，两脚后跟同时离地，然后还原。此动作重复进行8次。
　　② 身体站直，双腿并立，双手叉腰，双腿跟同时内、外摆动。此动作重复进行8次。
　　③ 身体站直，双腿并立，双手叉腰，左腿向下方弹踢两次，然后换成右腿向前下方弹踢。此动作重复进行8次。
　　④ 身体站直，双腿并立，双手叉腰，左腿向左侧下弹踢两次，然后换成右腿向右侧下方弹踢两次。此动作重复进行8次。
　　⑤ 身体站直，双手叉腰，两腿分开，同时下蹲，蹲到最低点时逐渐站起。此动作重复进行8次。
　　2、摆小腿
　　① 仰撑，屈腿，左腿用力向上弹踢，踢到最高点时稍停片刻；然后放下换成右腿用力向上弹踢，踢到最高点时稍停片刻。上述动作重复进行8次，可以适量加快踢的速度。
　　② 俯撑，右腿用力向后上方弹踢，踢到最高点时停留片刻；然后放下，换成左腿向上踢。上述动作重复进行8次，可以适量加快踢的速度。
　　3、摆大腿
　　① 身体直立，两腿分开呈马步，双手叉腰。两条大腿同时向内旋，然后再同时向外旋。上述动作重复进行8次，可以适量加快踢的速度。
　　② 身体直立，左腿上抬，右腿原地跳一次，然后换成右腿上抬，左脚原地跳一次。上述动作重复进行8，可以适量加快踢的速度。
　　4、坐撑抬腿
　　① 坐在毯子上，两腿并拢，然后屈膝，大腿尽量靠近胸部，然后逐渐还原。上述动作重复进行8次，可以适量加快踢的速度。
　　② 坐在毯子上，两腿并拢，双手扶住膝盖，弯身压大腿，然后还原。上述动作重复进行8次，可以适量加快踢的速度。
　　③ 身体右侧卧，左腿屈膝，尽量抬高大腿，抬到最高点时停留片刻，然后还原。身体换成左侧卧，右腿屈膝，尽量抬高大腿，抬到最高点时停留片刻，然后还原。上述动作重复进行8次，可以适量加快踢的速度。
　　④ 身体右侧卧，左腿向侧摆，摆到极限时停留片刻，然后还原。身体左侧卧，右腿向侧摆，摆到极限时时停留片刻，然后还原。上述动作重复进行8次，可以适量加快踢的速度。
　　5、大腿踢
　　① 站在墙角边，双腿直立且并拢，右手扶墙，左手叉腰，左腿用力向前踢，踢到最高点时停留片刻，然后放下左腿，连踢6次；左手扶墙，右手叉腰，右腿用力向前踢，踢到最高点时停留片刻，然后放下右腿，同样连续踢6次。此动作连续进行，可以适量加快踢的速度。
　　② 站在墙角边，双腿直立且并拢，右手扶墙，左手叉腰，左腿向左侧大踢腿，踢到最高点时停留片刻，然后放下左腿，连踢6次；左手扶墙，右手叉腰，右腿向右侧大踢腿，踢到最高点时停留片刻，然后放下左腿，连续踢6次。此动作连续进行，可以适量加快踢的速度。
　　③身体直立，两手扶墙，上体稍向前倾，左腿抬起，用力向后踢腿，提到最高点时停留片刻，然后放下左腿，连续踢6次；右腿抬起，用力向后踢腿，踢到最高点时停留片刻，然后放下右腿，连续踢6次。此动作连续进行，可以适量加快踢的速度。"
时尚,"组图：慵懒背心长裙 给你十足的清凉夏日
　　导语： 炎热的夏天，想穿得清凉些，一条舒适的棉质背心连衣裙带来的清爽感是比冰淇淋还要可口。材质柔软舒适，触感好，让你的皮肤清爽干净，还带点休闲慵懒的感觉，给你带来十足的清凉夏日。
　　极简风的纯黑色背心长裙，柔软的棉质，垂感十足，散发出慵懒迷人的女人味。搭配硬朗的黑色鱼嘴短靴，更具时尚感。加上帅气的黑框眼镜以及一抹红唇，个性十足。
　　简洁的棉质背心长裙，使用纯净的白色，显得很干净清新，十分休闲，在阳光明媚的夏日穿上它，清凉舒适，可以尽情的放松身心。
　　雅致的条纹连衣裙，拼接缝合的设计，让条纹富有变化而不会太沉闷，外搭纯净的白色小西装，清新优雅而富有女人味，很时尚。
　　清新的黑白条纹，独特的剪裁让规矩的条纹也变得活泼了起来。轻柔的纯棉质地更显清凉感，One-piece的穿着内搭黑色legging，层次丰富，更显时尚感。"
时尚,"“由厚变薄” 疯瘦14kg完美小姐进化论
　　导语：现在有很多mm都为自己身上的赘肉烦恼不已，其中有很多的原因是因为生活习惯的问题所造成的呢！今天就针对各种发胖原因为大家整理了不同的减肥方法，赶紧行动起来，消除脂肪吧！以下的六种发胖原因和减肥方法，大家针对自己的情况行动吧！
　　一、典型干物女
　　喜欢呆在家里玩game、看漫画、上网，一点都不在意自己的身材及外型，变胖了，无所谓！反正吃得开心最重要。
　　发胖原因：好吃懒做，脂肪只进不出
　　没有持续运动的习惯，最爱吃垃圾食物和热量高的零食，在家里伸手可及的地方总是堆满了食物，还养成了“一手拿漫画、一手吃零食”的坏习惯。
　　瘦身绝招：
　　1、能走路就尽量不坐车！习惯后再慢慢增加距离，会有意想不到的瘦身效果；
　　2、降低盐分的摄取，尽量养成饮食清淡的习惯，才不会让下半身水分囤积。
　　二、爱漂亮却不坚持
　　漂亮的猫，对于美的意识比一般人都强烈，但减肥往往是三分钟热度，如果是胖在平常人看不到的地方，就懒得去改变它。
　　发胖原因：偏食造成营养失衡
　　偏食主义者，不喜欢的食物绝对不会勉强自己吃，膳食纤维不足，反而摄取了过多的糖分和蛋白质，形成发胖主因。
　　瘦身绝招：
　　1、要均衡摄取包括糖类、蛋白质以及富含纤维的蔬果；
　　2、记录自己体重的变化，另外也需补充偏食所缺乏的膳食纤维，维持肠道顺畅。
　　三、精力充沛活动派
　　个性活泼又朝气，最喜欢在阳光下挥晒汗水，比起节食，更喜欢利用运动来消耗热量，但只要热诚用尽，就容易松懈下来。
　　发胖原因：肌肉散不去，肥肉一直来
　　对于体力相当有自信，但因为长时间的运动，经常不知不觉的就摄取了过量的淀粉，让肌肉外围一点一滴地累积脂肪。
　　瘦身绝招：
　　1、不能一次吃太多，少量多餐，每餐隔4小时以上，吃六分饱就好，运动期间摄取大量水分，避免活动后的大吃大喝。
　　2、认真的减肥，就算看不出立即的效果，也会继续，但小心认真过头，丧失持久力哦。
　　四、最怕寂寞，抑郁成疾
　　抑郁的兔子，对于他人的情绪相当敏感，深怕自己得罪大家，会为了迎合别人而委屈自己，不满也绝不会表现出来。
　　发胖原因：大吃大喝舒解压力
　　下班一回到家，总是以“慰劳自己”为由，马上灌下一两罐啤酒，就算是不喝酒的人，也会为了纾解压力而大吃特吃甜食。
　　瘦身绝招：
　　1、睡前吃一两块乳酪，能让你睡得更好。
　　2、回家后立刻到浴室报道，来个放松身心的泡泡浴。
　　运动篇 放松身心，增强血液循环"
时尚,"荷叶领搭配牛仔裤 休闲时髦的女性
　　荷叶领搭配牛仔裤 休闲时髦的女性
　　搭配建议：非常简单的搭配方式，粉色的上衣加上普通的牛仔裤，荷叶领起了画龙点睛的作用。
　　搭配建议：同样是粉色的荷叶领衬衣打底，外搭一件紫色开襟毛衣和牛仔裤，休闲风格也能让人一见倾心。
　　搭配建议：白色真丝衬衣搭配橘红色长针织衫风格，更容易隐藏我们腰部的小赘肉，搭配一件浅色修身长裤，减轻了橘红色的强烈冲击感。"
时尚,"组图：偶尔来点中性风 女人也可以这样酷
　　导语：在2011春夏街头，各种五彩缤纷的着装配色是不是已经让你眼花缭乱了呢？其实无论潮流如何的日新月异，终归不变的还是经典。明星们就是最好的示范，清一色的黑白灰，想要脱颖而出，就要这样与众不同！
　　Jessica Szohr  身着灰色垫肩破洞上衣，PU皮质感Legging，搭配黑色小礼帽，酷感十足。
　　一身松垮黑色的Agyness Deyn依旧难掩发福迹象。绿色包，斑马纹鞋，展现超模的搭配功力。
　　这身搭配可以说非常完美，加上强大的明星气场，Charlize Theron 真是越来越美了。
　　筷子腿的 Karen Gillan很适合宽松针织衫，黑色紧身短裙与及踝高跟靴不但拉长曲线，更显嫩白。"
时政,"俄美总统就伊朗核问题通电话
　　新华网莫斯科5月13日电 (记者谢荣) 俄罗斯总统梅德韦杰夫和美国总统奥巴马13日在电话交谈中商定，双方将共同努力促使伊朗核问题有关六方尽快达成统一立场。
　　俄罗斯总统新闻局当天发布消息说，俄美两国领导人在电话交谈中详细讨论了伊朗核问题。双方还就中东局势等地区问题交换了看法。梅德韦杰夫根据自己刚刚访问叙利亚和土耳其两个国家的情况，阐述了对中东局势的观点。
　　双方还讨论了梅德韦杰夫将于6月下半月出访美国以及双边关系问题。梅德韦杰夫还向奥巴马详细通报了俄罗斯关于建立海盗国际法庭的倡议。奥巴马对此表示愿共同努力，建立有效的国际法机制，以解决海盗这一尖锐的国际问题。
　　奥巴马还对俄罗斯西伯利亚地区发生的矿难造成巨大人员伤亡表示同情。"
时政,"援助船搭载多国犹太人驶往加沙
　　新华网北京9月26日电 一艘搭载多国犹太人的援助船26日从塞浦路斯北部法马古斯塔港起锚，驶往加沙地带。
　　美联社报道，这艘船名为“和平女神”，船员和乘客共计9人，计划为加沙地带送去儿童玩具、医疗设备等援助物资。参与者包括来自以色列、德国、美国和英国的犹太人。
　　以色列2007年开始对加沙地带实施封锁。加沙常住居民大约150万，70%以上生活在贫困线下。大部分居民靠联合国救援物资维持生计。
　　活动组织者、英国“犹太人为巴勒斯坦人争取正义”组织成员理查德·库珀说，这次活动目的之一是告诉世人，并非所有犹太人支持以色列对巴勒斯坦人的政策。
　　82岁的犹太人鲁文·莫什科维茨在二战时期躲过纳粹针对犹太人的太屠杀。她在船上接受法新社记者采访时说，她感到自己有义务参加这次活动。
　　“(以色列)迫害、封锁加沙地带这么多民众，包括80万儿童，”莫什科维茨说，“对于像我这样的(大屠杀)幸存者来说，反对这种行为是神圣职责。”
　　以色列国防部长埃胡德·巴拉克先前警告，任何靠近加沙地带的船只都将受到以方拦截。以海军今年5月31日拦截一支前往加沙的人道主义援助船队。以军士兵登船并与船上志愿者发生冲突，致死9名土耳其人。
　　库珀说，如果“和平女神”号遭以色列当局拦截，他们不会与以方发生冲突。"
时政,"俄罗斯载人飞船计划明日与国际空间站对接
　　3名宇航员计划明日与国际空间站对接
　　据新华社电 俄美3名宇航员莫斯科时间昨日2时18分(北京时间当天6时18分)搭乘以加加林命名的俄罗斯“联盟TMA-21”载人飞船飞赴国际空间站。
　　根据俄罗斯电视台的直播画面，运载着“联盟TMA-21”载人飞船的俄“联盟-FG”型运载火箭从哈萨克斯坦境内的拜科努尔发射场升空。飞船船舱内的俄罗斯宇航员亚历山大·萨莫库佳耶夫担任飞船指令长，俄宇航员安德烈·鲍里先科和美国宇航员罗恩·加兰担任飞船随航工程师。其中，加兰具有太空飞行经验，萨莫库佳耶夫和鲍里先科则是首次飞向太空。
　　作为国际空间站新一批长期考察组成员，3名宇航员的太空之旅将持续170天。据当地媒体此前报道，他们将在国际空间站进行44项科学试验，并分别实施两次美国航天飞机和3次俄罗斯货运飞船与国际空间站的对接。此外，宇航员还将执行若干次太空行走任务。
　　按照计划，“联盟TMA-21”载人飞船将于莫斯科时间7日3时18分与国际空间站对接。届时，已在空间站值守近4个月的俄罗斯宇航员德米特里·孔德拉季耶夫，欧洲航天局意大利宇航员保罗·内斯波利和美国宇航员凯瑟琳·科尔曼将迎接新同伴的到来。"
